,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,Windspeed,Max Temp
0,foam lake,95,CA,1592773527,68,51.65,-103.53,56.55,9.22,56.03
1,punta arenas,75,CL,1592773489,93,-53.15,-70.92,37.4,4.7,39.2
2,rikitea,75,PF,1592773527,70,-23.12,-134.97,70.54,18.79,70.99
3,sabzevar,0,IR,1592773527,29,36.21,57.68,76.39,3.11,78.15
4,baker city,1,US,1592773527,38,44.77,-117.83,75.2,5.7,73.4
5,port hardy,75,CA,1592773264,82,50.7,-127.42,59,6.93,59.0
6,belmonte,0,BR,1592773528,64,-15.86,-38.88,75.2,4.7,77.0
7,beringovskiy,0,RU,1592773528,48,63.05,179.32,51.21,4.81,50.5
8,griffith,90,AU,1592773412,100,-34.28,146.03,46.4,8.05,46.4
9,katsuura,75,JP,1592773498,94,35.13,140.3,70,16.11,70.0
10,belushya guba,,RU,,,,,,,
11,bredasdorp,66,ZA,1592773529,93,-34.53,20.04,57.2,3.09,55.4
12,dikson,53,RU,1592773529,72,73.51,80.55,43.88,14.83,42.39
13,jalu,0,LY,1592773529,48,29.03,21.55,76.37,14.67,78.91
14,albany,75,AU,1592773529,66,-35.02,117.89,51.8,8.05,50.0
15,armacao de pera,0,PT,1592773529,45,37.1,-8.36,82.4,10.29,91.4
16,hithadhoo,13,MV,1592773529,68,-0.6,73.08,83.52,4.41,83.73
17,panama city,20,US,1592773499,62,30.16,-85.66,89.01,11.41,87.8
18,saint-philippe,20,RE,1592773524,82,-21.36,55.77,66.2,4.7,66.2
19,la palma,94,PA,1592773530,85,8.4,-78.15,81.93,3.69,82.89
20,fairview,75,CA,1592773530,52,56.07,-118.39,73,12.75,71.01
21,qeshm,0,IR,1592773530,70,26.96,56.27,89.6,9.17,89.6
22,asyut,0,EG,1592773530,16,27.18,31.18,86.25,3.91,88.12
23,mataura,,PF,,,,,,,
24,port alfred,2,ZA,1592773531,89,-33.59,26.89,60.01,3,62.01
25,prince rupert,90,CA,1592773531,62,54.32,-130.32,57.2,5.82,55.4
26,vizinga,20,RU,1592773531,90,61.07,50.1,41.61,4.16,43.2
27,busselton,0,AU,1592773531,51,-33.65,115.33,57,20.09,57.99
28,yellowknife,20,CA,1592773232,40,62.46,-114.35,79,20.8,77.0
29,nanortalik,100,GL,1592773532,70,60.14,-45.24,45.1,11.99,45.45
30,atar,97,MR,1592773532,12,20.52,-13.05,104.49,13.15,105.71
31,ancud,90,CL,1592773532,100,-41.87,-73.82,48,14.99,48.0
32,lebu,100,CL,1592773388,83,-37.62,-73.65,51.04,9.69,51.85
33,berlevag,40,NO,1592773526,81,70.86,29.09,42.8,8.05,46.18
34,mahebourg,40,MU,1592773533,78,-20.41,57.7,71.6,14.99,71.6
35,satitoa,,WS,,,,,,,
36,bonavista,96,CA,1592773433,66,48.65,-53.11,54.82,14.88,54.73
37,saskylakh,65,RU,1592773376,63,71.92,114.08,52.66,8.52,51.44
38,georgetown,1,SH,1592773533,74,-7.93,-14.42,78.39,19.42,78.22
39,cidreira,31,BR,1592773416,69,-30.18,-50.21,72.16,8.66,74.25
40,barrow,90,US,1592773446,75,71.29,-156.79,42.8,16.11,44.6
41,kysyl-syr,93,RU,1592773534,65,63.9,122.76,64.76,8.3,60.12
42,bethel,20,US,1592773534,48,41.37,-73.41,90,8.05,89.01
43,namibe,0,AO,1592773534,59,-15.2,12.15,69.31,3.8,70.39
44,egvekinot,21,RU,1592773535,41,66.32,-179.17,60.66,3.83,59.79
45,tabas,0,IR,1592773535,7,33.6,56.92,95,11.41,96.8
46,barentsburg,,SJ,,,,,,,
47,rio grande,75,BR,1592773314,73,-32.03,-52.1,77,3.36,75.2
48,uxbridge,1,CA,1592773430,51,44.1,-79.12,84.2,9.17,87.01
49,shitanjing,100,CN,1592773536,76,39.23,106.34,59.54,6.87,60.51
50,carnarvon,0,AU,1592773536,87,-24.87,113.63,55.4,4.7,59.0
51,guilin,75,CN,1592773536,88,25.28,110.29,80.6,4.47,78.8
52,minab,0,IR,1592773539,70,27.15,57.08,89.6,9.17,89.6
53,kazalinsk,,KZ,,,,,,,
54,leningradskiy,0,RU,1592773539,63,69.38,178.42,50.61,2.42,48.06
55,garden city,75,US,1592773505,54,42.33,-83.33,84.2,11.41,84.2
56,iquitos,75,PE,1592773272,74,-3.75,-73.25,84.2,4.7,87.8
57,palmer,75,US,1592773523,36,42.16,-72.33,91.99,4.7,91.99
58,mandali,0,IQ,1592773540,31,33.75,45.55,77.36,2.82,78.04
59,atuona,0,PF,1592773377,63,-9.8,-139.03,80.26,8.61,80.26
60,tautira,40,PF,1592773540,69,-17.73,-149.15,82.4,4.7,82.4
61,butaritari,39,KI,1592773517,79,3.07,172.79,83.5,14.97,83.61
62,vila velha,0,BR,1592773541,73,-20.33,-40.29,77,12.75,79.0
63,azogues,100,EC,1592773541,77,-2.73,-78.83,60.8,5.82,60.8
64,geraldton,0,AU,1592773249,44,-28.77,114.6,60.8,17.22,62.6
65,ushuaia,24,AR,1592773542,89,-54.8,-68.3,37.4,5.82,39.2
66,saraipali,66,IN,1592773542,86,21.33,83,77.68,9.24,77.5
67,sorland,66,NO,1592773542,65,67.67,12.69,61.57,9.35,69.8
68,inderborskiy,,KZ,,,,,,,
69,cape town,75,ZA,1592773394,93,-33.93,18.42,57.99,8.05,60.01
70,chagda,,RU,,,,,,,
71,vestmanna,100,FO,1592773543,100,62.16,-7.17,51.8,12.75,51.8
72,cabo san lucas,5,MX,1592773543,42,22.89,-109.91,87.8,9.17,88.0
73,coffs harbour,0,AU,1592773543,93,-30.3,153.13,46,4.7,46.99
74,jamestown,100,SH,1592773262,80,-15.94,-5.72,66.42,19.01,66.42
75,osorno,100,CL,1592773544,81,-40.57,-73.15,50,10.29,50.0
